Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"29/08/2019","147.80","111.00","-36.80 (24.90%)","SELL","HLG"
"29/08/2019","147.80","111.09","-36.71 (24.84%)","SELL","AmInvest"
"28/08/2019","149.00","149.50","+0.50 (0.34%)","HOLD","MIDF"
"28/08/2019","149.00","128.00","-21.00 (14.09%)","SELL","KENANGA"
"28/08/2019","148.60","111.00","-37.60 (25.30%)","SELL","HLG"
"28/08/2019","149.00","111.09","-37.91 (25.44%)","SELL","AmInvest"
"28/08/2019","149.00","138.20","-10.80 (7.25%)","HOLD","AffinHwang"
"25/04/2019","147.00","137.00","-10.00 (6.80%)","HOLD","KENANGA"
"25/04/2019","145.30","111.00","-34.30 (23.61%)","SELL","HLG"
"25/04/2019","147.00","122.74","-24.26 (16.50%)","SELL","AmInvest"

