Column1,AQR,T4Q,31/08/18,31/08/17,31/08/16,31/08/15,31/08/14,31/08/13,CAGR
"Revenue","96,840","85,405","87,841","93,056","92,690","87,954","79,481","0","-"
"YoY %","13.39%","-2.77%","-5.60%","0.39%","5.38%","10.66%","0.00%","-",""
"Horiz. %","121.84%","107.45%","110.52%","117.08%","116.62%","110.66%","100.00%","-",""
"PBT","17,018","2,867","4,124","11,452","22,230","21,410","16,869","0","-"
"YoY %","493.61%","-30.48%","-63.99%","-48.48%","3.83%","26.92%","0.00%","-",""
"Horiz. %","100.89%","17.00%","24.45%","67.89%","131.78%","126.92%","100.00%","-",""
"Tax","-5,490","-2,124","-2,121","-3,462","-5,136","-5,624","-4,618","0","-"
"YoY %","-158.51%","-0.14%","38.73%","32.59%","8.68%","-21.78%","0.00%","-",""
"Horiz. %","118.90%","45.99%","45.93%","74.97%","111.22%","121.78%","100.00%","-",""
"NP","11,528","743","2,003","7,990","17,094","15,786","12,251","0","-"
"YoY %","1,451.55%","-62.91%","-74.93%","-53.26%","8.29%","28.85%","0.00%","-",""
"Horiz. %","94.10%","6.06%","16.35%","65.22%","139.53%","128.85%","100.00%","-",""
"NP to SH","11,528","743","2,003","8,038","16,695","15,331","12,251","0","-"
"YoY %","1,451.55%","-62.91%","-75.08%","-51.85%","8.90%","25.14%","0.00%","-",""
"Horiz. %","94.10%","6.06%","16.35%","65.61%","136.27%","125.14%","100.00%","-",""
"Tax Rate","32.26    %","74.08    %","51.43    %","30.23    %","23.10    %","26.27    %","27.38    %","-     %","-"
"YoY %","-56.45%","44.04%","70.13%","30.87%","-12.07%","-4.05%","0.00%","-",""
"Horiz. %","117.82%","270.56%","187.84%","110.41%","84.37%","95.95%","100.00%","-",""
"Total Cost","85,312","84,662","85,838","85,066","75,596","72,168","67,230","0","-"
"YoY %","0.77%","-1.37%","0.91%","12.53%","4.75%","7.34%","0.00%","-",""
"Horiz. %","126.90%","125.93%","127.68%","126.53%","112.44%","107.34%","100.00%","-",""
"Net Worth","159,489","160,866","155,066","146,684","97,789","52,080","80,086","-","-"
"YoY %","-0.86%","3.74%","5.71%","50.00%","87.77%","-34.97%","0.00%","-",""
"Horiz. %","199.15%","200.87%","193.63%","183.16%","122.11%","65.03%","100.00%","-",""
"Div","-","0","-","4,190","6,286","6,351","-","-","-"
"YoY %","0.00%","0.00%","0.00%","-33.33%","-1.02%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","65.99%","98.98%","100.00%","-","-",""
"Div Payout %","-     %","-     %","-     %","52.14    %","37.65    %","41.43    %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","38.49%","-9.12%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","125.85%","90.88%","100.00%","-","-",""
"Net Worth","159,489","160,866","155,066","146,684","97,789","52,080","80,086","-","-"
"YoY %","-0.86%","3.74%","5.71%","50.00%","87.77%","-34.97%","0.00%","-",""
"Horiz. %","199.15%","200.87%","193.63%","183.16%","122.11%","65.03%","100.00%","-",""
"NOSH","419,708","423,333","419,099","419,099","279,400","127,025","108,224","-","-"
