Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","1,569,903","1,569,903","1,569,903","1,388,281","1,918,623","1,599,045","1,733,620","1,936,401","2,625,525","2,026,366","1,768,884","2,252,049","-3.93%"
"YoY %","0.00%","0.00%","13.08%","-27.64%","19.99%","-7.76%","-10.47%","-26.25%","29.57%","14.56%","-21.45%","-",""
"Horiz. %","69.71%","69.71%","69.71%","61.65%","85.19%","71.00%","76.98%","85.98%","116.58%","89.98%","78.55%","100.00%",""
"PBT","262,082","262,082","262,082","216,458","182,546","168,317","143,689","132,570","-34,977","111,716","53,277","68,182","16.13%"
"YoY %","0.00%","0.00%","21.08%","18.58%","8.45%","17.14%","8.39%","479.02%","-131.31%","109.69%","-21.86%","-",""
"Horiz. %","384.39%","384.39%","384.39%","317.47%","267.73%","246.86%","210.74%","194.44%","-51.30%","163.85%","78.14%","100.00%",""
"Tax","-29,037","-29,037","-29,037","-20,141","-21,591","-31,447","-24,833","-16,355","-26,106","-29,184","-6,993","-39,297","-3.30%"
"YoY %","0.00%","0.00%","-44.17%","6.72%","31.34%","-26.63%","-51.84%","37.35%","10.55%","-317.33%","82.20%","-",""
"Horiz. %","73.89%","73.89%","73.89%","51.25%","54.94%","80.02%","63.19%","41.62%","66.43%","74.27%","17.80%","100.00%",""
"NP","233,045","233,045","233,045","196,317","160,955","136,870","118,856","116,215","-61,083","82,532","46,284","28,885","26.09%"
"YoY %","0.00%","0.00%","18.71%","21.97%","17.60%","15.16%","2.27%","290.26%","-174.01%","78.32%","60.24%","-",""
"Horiz. %","806.80%","806.80%","806.80%","679.65%","557.23%","473.84%","411.48%","402.34%","-211.47%","285.73%","160.24%","100.00%",""
"NP to SH","144,800","144,800","144,800","131,608","105,501","85,580","81,550","86,379","-93,241","63,772","32,944","12,680","31.05%"
"YoY %","0.00%","0.00%","10.02%","24.75%","23.28%","4.94%","-5.59%","192.64%","-246.21%","93.58%","159.81%","-",""
"Horiz. %","1,141.96%","1,141.96%","1,141.96%","1,037.92%","832.03%","674.92%","643.14%","681.22%","-735.34%","502.93%","259.81%","100.00%",""
"Tax Rate","11.08    %","11.08    %","11.08    %","9.30    %","11.83    %","18.68    %","17.28    %","12.34    %","-     %","26.12    %","13.13    %","57.64    %","-16.73%"
"YoY %","0.00%","0.00%","19.14%","-21.39%","-36.67%","8.10%","40.03%","0.00%","0.00%","98.93%","-77.22%","-",""
"Horiz. %","19.22%","19.22%","19.22%","16.13%","20.52%","32.41%","29.98%","21.41%","0.00%","45.32%","22.78%","100.00%",""
"Total Cost","1,336,858","1,336,858","1,336,858","1,191,964","1,757,668","1,462,175","1,614,764","1,820,186","2,686,608","1,943,834","1,722,600","2,223,164","-5.49%"
"YoY %","0.00%","0.00%","12.16%","-32.18%","20.21%","-9.45%","-11.29%","-32.25%","38.21%","12.84%","-22.52%","-",""
"Horiz. %","60.13%","60.13%","60.13%","53.62%","79.06%","65.77%","72.63%","81.87%","120.85%","87.44%","77.48%","100.00%",""
"Net Worth","1,122,076","1,122,076","1,120,132","1,047,121","965,151","801,310","636,115","551,731","455,183","510,829","451,194","362,557","13.34%"
"YoY %","0.00%","0.17%","6.97%","8.49%","20.45%","25.97%","15.29%","21.21%","-10.89%","13.22%","24.45%","-",""
"Horiz. %","309.49%","309.49%","308.95%","288.82%","266.21%","221.02%","175.45%","152.18%","125.55%","140.90%","124.45%","100.00%",""
"Div","36,118","36,118","36,055","33,623","26,149","22,894","16,963","18,528","10,160","20,111","13,852","9,540","15.91%"
"YoY %","0.00%","0.17%","7.23%","28.58%","14.22%","34.97%","-8.45%","82.36%","-49.48%","45.18%","45.19%","-",""
"Horiz. %","378.56%","378.56%","377.90%","352.41%","274.07%","239.96%","177.79%","194.20%","106.49%","210.79%","145.19%","100.00%",""
"Div Payout %","24.94    %","24.94    %","24.90    %","25.55    %","24.79    %","26.75    %","20.80    %","21.45    %","-     %","31.54    %","42.05    %","75.24    %","-11.56%"
"YoY %","0.00%","0.16%","-2.54%","3.07%","-7.33%","28.61%","-3.03%","0.00%","0.00%","-24.99%","-44.11%","-",""
"Horiz. %","33.15%","33.15%","33.09%","33.96%","32.95%","35.55%","27.64%","28.51%","0.00%","41.92%","55.89%","100.00%",""
"Net Worth","1,122,076","1,122,076","1,120,132","1,047,121","965,151","801,310","636,115","551,731","455,183","510,829","451,194","362,557","13.34%"
"YoY %","0.00%","0.17%","6.97%","8.49%","20.45%","25.97%","15.29%","21.21%","-10.89%","13.22%","24.45%","-",""
"Horiz. %","309.49%","309.49%","308.95%","288.82%","266.21%","221.02%","175.45%","152.18%","125.55%","140.90%","124.45%","100.00%",""
"NOSH","481,578","481,578","480,743","480,331","475,443","457,891","424,076","411,739","406,413","402,228","395,784","381,639","2.60%"
