Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","1,711,862","1,711,862","1,711,862","1,606,724","1,551,319","1,788,025","1,673,898","1,416,841","1,203,565","1,012,609","943,476","874,600","7.74%"
"YoY %","0.00%","0.00%","6.54%","3.57%","-13.24%","6.82%","18.14%","17.72%","18.86%","7.33%","7.88%","-",""
"Horiz. %","195.73%","195.73%","195.73%","183.71%","177.37%","204.44%","191.39%","162.00%","137.61%","115.78%","107.88%","100.00%",""
"PBT","375,365","375,365","375,365","332,786","302,139","381,654","341,452","294,894","226,906","178,722","118,796","98,526","16.01%"
"YoY %","0.00%","0.00%","12.79%","10.14%","-20.83%","11.77%","15.79%","29.96%","26.96%","50.44%","20.57%","-",""
"Horiz. %","380.98%","380.98%","380.98%","337.76%","306.66%","387.36%","346.56%","299.31%","230.30%","181.40%","120.57%","100.00%",""
"Tax","-74,109","-74,109","-74,109","-83,767","-84,828","-83,996","-75,844","-79,346","-60,279","-34,233","-29,096","-35,461","8.53%"
"YoY %","0.00%","0.00%","11.53%","1.25%","-0.99%","-10.75%","4.41%","-31.63%","-76.08%","-17.66%","17.95%","-",""
"Horiz. %","208.99%","208.99%","208.99%","236.22%","239.21%","236.87%","213.88%","223.76%","169.99%","96.54%","82.05%","100.00%",""
"NP","301,256","301,256","301,256","249,019","217,311","297,658","265,608","215,548","166,627","144,489","89,700","63,065","18.96%"
"YoY %","0.00%","0.00%","20.98%","14.59%","-26.99%","12.07%","23.22%","29.36%","15.32%","61.08%","42.23%","-",""
"Horiz. %","477.69%","477.69%","477.69%","394.86%","344.58%","471.99%","421.17%","341.79%","264.21%","229.11%","142.23%","100.00%",""
"NP to SH","265,741","265,741","265,741","215,236","169,177","241,587","221,335","175,072","135,735","120,022","65,781","40,989","23.07%"
"YoY %","0.00%","0.00%","23.46%","27.23%","-29.97%","9.15%","26.43%","28.98%","13.09%","82.46%","60.48%","-",""
"Horiz. %","648.32%","648.32%","648.32%","525.11%","412.74%","589.39%","539.99%","427.12%","331.15%","292.82%","160.48%","100.00%",""
"Tax Rate","19.74    %","19.74    %","19.74    %","25.17    %","28.08    %","22.01    %","22.21    %","26.91    %","26.57    %","19.15    %","24.49    %","35.99    %","-6.45%"
"YoY %","0.00%","0.00%","-21.57%","-10.36%","27.58%","-0.90%","-17.47%","1.28%","38.75%","-21.80%","-31.95%","-",""
"Horiz. %","54.85%","54.85%","54.85%","69.94%","78.02%","61.16%","61.71%","74.77%","73.83%","53.21%","68.05%","100.00%",""
"Total Cost","1,410,606","1,410,606","1,410,606","1,357,705","1,334,008","1,490,367","1,408,290","1,201,293","1,036,938","868,120","853,776","811,535","6.33%"
"YoY %","0.00%","0.00%","3.90%","1.78%","-10.49%","5.83%","17.23%","15.85%","19.45%","1.68%","5.21%","-",""
"Horiz. %","173.82%","173.82%","173.82%","167.30%","164.38%","183.65%","173.53%","148.03%","127.77%","106.97%","105.21%","100.00%",""
"Net Worth","2,546,469","2,546,469","2,546,469","2,352,883","2,213,213","2,019,826","1,797,959","1,625,576","1,495,298","1,416,758","1,311,460","1,277,866","7.96%"
"YoY %","0.00%","0.00%","8.23%","6.31%","9.57%","12.34%","10.60%","8.71%","5.54%","8.03%","2.63%","-",""
"Horiz. %","199.28%","199.28%","199.28%","184.13%","173.20%","158.06%","140.70%","127.21%","117.02%","110.87%","102.63%","100.00%",""
"Div","79,175","79,175","79,175","85,950","67,685","48,346","87,831","56,628","55,745","49,421","32,951","16,467","19.05%"
"YoY %","0.00%","0.00%","-7.88%","26.98%","40.00%","-44.95%","55.10%","1.58%","12.80%","49.98%","100.10%","-",""
"Horiz. %","480.81%","480.81%","480.81%","521.94%","411.03%","293.59%","533.37%","343.88%","338.52%","300.12%","200.10%","100.00%",""
"Div Payout %","29.79    %","29.79    %","29.79    %","39.93    %","40.01    %","20.01    %","39.68    %","32.35    %","41.07    %","41.18    %","50.09    %","40.18    %","-3.27%"
"YoY %","0.00%","0.00%","-25.39%","-0.20%","99.95%","-49.57%","22.66%","-21.23%","-0.27%","-17.79%","24.66%","-",""
"Horiz. %","74.14%","74.14%","74.14%","99.38%","99.58%","49.80%","98.76%","80.51%","102.22%","102.49%","124.66%","100.00%",""
"Net Worth","2,546,469","2,546,469","2,546,469","2,352,883","2,213,213","2,019,826","1,797,959","1,625,576","1,495,298","1,416,758","1,311,460","1,277,866","7.96%"
"YoY %","0.00%","0.00%","8.23%","6.31%","9.57%","12.34%","10.60%","8.71%","5.54%","8.03%","2.63%","-",""
"Horiz. %","199.28%","199.28%","199.28%","184.13%","173.20%","158.06%","140.70%","127.21%","117.02%","110.87%","102.63%","100.00%",""
"NOSH","1,069,945","1,069,945","1,069,945","1,074,376","1,074,375","1,074,375","1,033,309","333,109","327,916","329,478","329,512","329,347","13.98%"
"YoY %","0.00%","0.00%","-0.41%","0.00%","0.00%","3.97%","210.20%","1.58%","-0.47%","-0.01%","0.05%","-",""
"Horiz. %","324.87%","324.87%","324.87%","326.21%","326.21%","326.21%","313.74%","101.14%","99.57%","100.04%","100.05%","100.00%",""
"NP Margin","17.60    %","17.60    %","17.60    %","15.50    %","14.01    %","16.65    %","15.87    %","15.21    %","13.84    %","14.27    %","9.51    %","7.21    %","10.42%"
