F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"T4Q","25-Jun-2019","30-Apr-2019","3","4,185","-8,039","-8,039","-8,039","0","65,324","- %","-192.09%","-12.31%","2,177,482","0.19","0.18","-0.37","-0.34","0.00","0.00","0.0300","0.03",""," -32.00%","30-Apr-2019","0.02","10.41","-5.42","0.67","-18.46%","0.00%","25-Jun-2019","0.015","7.80","-4.06","0.50","-24.61%","0.00%"
"31-Jul-2018","28-Sep-2018","31-Jul-2018","","4,092","-11,729","-11,729","-11,729","-","73,737","- %","-286.63%","-15.91%","2,457,908","0.17","0.17","-0.48","-0.50","0.00","0.00","0.0300","0.03",""," -607.75%","31-Jul-2018","0.025","15.02","-5.24","0.83","-19.09%","0.00%","28-Sep-2018","0.02","12.01","-4.19","0.67","-23.86%","0.00%"
"31-Jan-2018","28-Mar-2018","31-Jan-2018","4","3,162","-5,248","-5,248","-5,248","-","66,884","- %","-165.97%","-7.85%","1,337,687","0.24","0.13","-0.39","-0.22","0.00","0.00","0.0500","0.03",""," -361.62%","30-Jan-2018","0.045","19.04","-11.47","0.90","-8.72%","0.00%","28-Mar-2018","0.03","12.69","-7.65","0.60","-13.08%","0.00%"
"31-Jan-2017","29-Mar-2017","31-Jan-2017","4","3,165","2,006","2,006","2,006","-","47,868","- %","63.38%","4.19%","1,196,716","0.26","0.13","0.17","0.09","0.00","0.00","0.0400","0.02",""," 107.67%","31-Jan-2017","0.09","34.03","53.69","2.25","1.86%","0.00%","29-Mar-2017","0.205","77.51","122.30","5.13","0.82%","0.00%"
"31-Jan-2016","25-Mar-2016","31-Jan-2016","4","35,372","-26,163","-26,163","-26,163","-","28,013","- %","-73.97%","-93.40%","933,770","3.79","1.51","-2.62","-1.11","0.00","0.00","0.0300","0.01","","  - %","29-Jan-2016","0.04","1.06","-1.43","1.33","-70.05%","0.00%","25-Mar-2016","0.04","1.06","-1.43","1.33","-70.05%","0.00%"
"31-Jul-2014","30-Sep-2014","31-Jul-2014","","15,374","-11,675","-11,675","-11,674","-","42,971","- %","-75.94%","-27.17%","716,196","2.15","0.66","-1.63","-0.50","0.00","0.00","0.0600","0.02",""," 80.22%","31-Jul-2014","0.075","3.49","-4.60","1.25","-21.73%","0.00%","30-Sep-2014","0.08","3.73","-4.91","1.33","-20.38%","0.00%"
"28-Feb-2014","22-Apr-2014","31-Jul-2013","","9,024","-38,825","-38,037","-59,018","-","6,646","- %","-421.51%","-887.99%","94,946","9.50","0.38","-5.46","-2.52","0.00","0.00","0.0700","0.00",""," -4.80%","31-Jul-2013","0.05","0.53","-0.08","0.71","-1,243.19%","0.00%","22-Apr-2014","0.11","1.16","-0.18","1.57","-565.09%","0.00%"
"28-Feb-2013","30-Apr-2013","28-Feb-2013","","72,365","-56,725","-56,316","-56,316","-","49,461","- %","-77.82%","-113.86%","706,599","10.24","3.08","-7.97","-2.40","0.00","0.00","0.0700","0.02",""," -754.57%","28-Feb-2013","0.045","0.44","-0.56","0.64","-177.11%","0.00%","30-Apr-2013","0.045","0.44","-0.56","0.64","-177.11%","0.00%"
"31-Aug-2012","31-Oct-2012","29-Feb-2012","","71,756","-6,996","-6,590","-6,590","-","99,204","- %","-9.18%","-6.64%","708,602","10.13","3.06","-0.93","-0.28","0.00","0.00","0.1400","0.04","","  - %","29-Feb-2012","0.19","2.32","35.94","1.27","2.78%","0.00%","31-Oct-2012","0.10","1.22","18.92","0.67","5.29%","0.00%"
"31-Aug-2011","28-Oct-2011","31-Aug-2011","4","57,995","4,050","3,746","3,746","-","101,849","- %","6.46%","3.68%","678,999","8.54","2.47","0.55","0.16","0.00","0.00","0.1500","0.04",""," -61.29%","29-Aug-2011","0.11","1.29","19.94","0.73","5.02%","0.00%","28-Oct-2011","0.15","1.76","27.19","1.00","3.68%","0.00%"

