Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,30/09/14,30/09/13,31/12/12,31/12/11,31/12/10,CAGR
"Revenue","238,184","250,908","263,376","270,680","288,032","214,930","198,910","142,116","194,052","151,318","163,719","6.32%"
"YoY %","-5.07%","-4.73%","-2.70%","-6.02%","34.01%","8.05%","39.96%","-26.76%","28.24%","-7.57%","-",""
"Horiz. %","145.48%","153.26%","160.87%","165.33%","175.93%","131.28%","121.49%","86.80%","118.53%","92.43%","100.00%",""
"PBT","22,300","24,311","26,751","26,691","21,508","27,478","17,426","15,663","18,553","16,894","20,329","3.60%"
"YoY %","-8.27%","-9.12%","0.22%","24.10%","-21.73%","57.68%","11.26%","-15.58%","9.82%","-16.90%","-",""
"Horiz. %","109.70%","119.59%","131.59%","131.30%","105.80%","135.17%","85.72%","77.05%","91.26%","83.10%","100.00%",""
"Tax","-6,746","-6,664","-6,266","-6,921","-5,274","-7,845","-4,633","-3,920","-4,760","-4,219","-4,710","3.75%"
"YoY %","-1.23%","-6.35%","9.46%","-31.23%","32.77%","-69.33%","-18.19%","17.65%","-12.82%","10.42%","-",""
"Horiz. %","143.23%","141.49%","133.04%","146.94%","111.97%","166.56%","98.37%","83.23%","101.06%","89.58%","100.00%",""
"NP","15,554","17,647","20,485","19,770","16,234","19,633","12,793","11,743","13,793","12,675","15,619","3.56%"
"YoY %","-11.86%","-13.85%","3.62%","21.78%","-17.31%","53.47%","8.94%","-14.86%","8.82%","-18.85%","-",""
"Horiz. %","99.58%","112.98%","131.15%","126.58%","103.94%","125.70%","81.91%","75.18%","88.31%","81.15%","100.00%",""
"NP to SH","16,134","17,536","20,085","19,921","15,641","19,570","12,720","11,636","13,747","12,512","15,577","3.33%"
"YoY %","-7.99%","-12.69%","0.82%","27.36%","-20.08%","53.85%","9.32%","-15.36%","9.87%","-19.68%","-",""
"Horiz. %","103.58%","112.58%","128.94%","127.89%","100.41%","125.63%","81.66%","74.70%","88.25%","80.32%","100.00%",""
"Tax Rate","30.25    %","27.41    %","23.42    %","25.93    %","24.52    %","28.55    %","26.59    %","25.03    %","25.66    %","24.97    %","23.17    %","0.14%"
"YoY %","10.36%","17.04%","-9.68%","5.75%","-14.12%","7.37%","6.23%","-2.46%","2.76%","7.77%","-",""
"Horiz. %","130.56%","118.30%","101.08%","111.91%","105.83%","123.22%","114.76%","108.03%","110.75%","107.77%","100.00%",""
"Total Cost","222,630","233,261","242,891","250,910","271,798","195,297","186,117","130,373","180,259","138,643","148,100","6.59%"
"YoY %","-4.56%","-3.96%","-3.20%","-7.69%","39.17%","4.93%","42.76%","-27.67%","30.02%","-6.39%","-",""
"Horiz. %","150.32%","157.50%","164.00%","169.42%","183.52%","131.87%","125.67%","88.03%","121.71%","93.61%","100.00%",""
"Net Worth","170,294","170,294","167,694","157,300","143,000","132,599","116,999","110,500","97,620","64,185","63,121","13.43%"
"YoY %","0.00%","1.55%","6.61%","10.00%","7.84%","13.33%","5.88%","13.19%","52.09%","1.69%","-",""
"Horiz. %","269.79%","269.79%","265.67%","249.20%","226.55%","210.07%","185.36%","175.06%","154.66%","101.69%","100.00%",""
"Div","-","9,099","9,099","6,500","5,200","5,200","5,200","3,900","4,270","3,209","17,866","-8.33%"
"YoY %","0.00%","0.00%","40.00%","25.00%","0.00%","0.00%","33.33%","-8.68%","33.08%","-82.04%","-",""
"Horiz. %","0.00%","50.93%","50.93%","36.38%","29.10%","29.10%","29.10%","21.83%","23.90%","17.96%","100.00%",""
"Div Payout %","-     %","51.89    %","45.31    %","32.63    %","33.25    %","26.57    %","40.88    %","33.52    %","31.07    %","25.65    %","114.70    %","-11.29%"
"YoY %","0.00%","14.52%","38.86%","-1.86%","25.14%","-35.00%","21.96%","7.89%","21.13%","-77.64%","-",""
"Horiz. %","0.00%","45.24%","39.50%","28.45%","28.99%","23.16%","35.64%","29.22%","27.09%","22.36%","100.00%",""
"Net Worth","170,294","170,294","167,694","157,300","143,000","132,599","116,999","110,500","97,620","64,185","63,121","13.43%"
"YoY %","0.00%","1.55%","6.61%","10.00%","7.84%","13.33%","5.88%","13.19%","52.09%","1.69%","-",""
"Horiz. %","269.79%","269.79%","265.67%","249.20%","226.55%","210.07%","185.36%","175.06%","154.66%","101.69%","100.00%",""
"NOSH","129,996","129,996","129,996","130,000","130,000","130,000","130,000","130,000","122,025","106,976","106,984","2.54%"
"YoY %","0.00%","0.00%","-0.00%","0.00%","0.00%","0.00%","0.00%","6.54%","14.07%","-0.01%","-",""
"Horiz. %","121.51%","121.51%","121.51%","121.51%","121.51%","121.51%","121.51%","121.51%","114.06%","99.99%","100.00%",""
"NP Margin","6.53    %","7.03    %","7.78    %","7.30    %","5.64    %","9.13    %","6.43    %","8.26    %","7.11    %","8.38    %","9.54    %","-2.60%"
