Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"29/08/2019","2.18","2.60","+0.42 (19.27%)","BUY","PUBLIC BANK"
"29/08/2019","2.18","1.95","-0.23 (10.55%)","HOLD","MIDF"
"29/08/2019","2.18","1.80","-0.38 (17.43%)","SELL","KENANGA"
"29/08/2019","2.18","2.87","+0.69 (31.65%)","BUY","HLG"
"29/08/2019","2.18","1.22","-0.96 (44.04%)","SELL","AmInvest"
"10/07/2019","2.22","2.60","+0.38 (17.12%)","HOLD","PUBLIC BANK"
"10/07/2019","2.22","2.96","+0.74 (33.33%)","BUY","HLG"
"10/07/2019","2.22","1.22","-1.00 (45.05%)","SELL","AmInvest"
"03/07/2019","2.45","2.96","+0.51 (20.82%)","BUY","HLG"
"30/05/2019","2.07","2.00","-0.07 (3.38%)","HOLD","PUBLIC BANK"

