Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Revenue","7,096,572","7,163,092","7,348,230","7,130,440","6,098,420","5,301,987","5,594,484","7.05%"
"YoY %","-0.93%","-2.52%","3.05%","16.92%","15.02%","-5.23%","-",""
"Horiz. %","126.85%","128.04%","131.35%","127.45%","109.01%","94.77%","100.00%",""
"PBT","474,650","498,110","559,173","588,526","637,541","701,191","595,484","-1.56%"
"YoY %","-4.71%","-10.92%","-4.99%","-7.69%","-9.08%","17.75%","-",""
"Horiz. %","79.71%","83.65%","93.90%","98.83%","107.06%","117.75%","100.00%",""
"Tax","-212,676","-222,449","-235,693","-211,588","-231,499","-206,144","-182,640","6.58%"
"YoY %","4.39%","5.62%","-11.39%","8.60%","-12.30%","-12.87%","-",""
"Horiz. %","116.45%","121.80%","129.05%","115.85%","126.75%","112.87%","100.00%",""
"NP","261,974","275,661","323,480","376,938","406,042","495,047","412,844","-5.91%"
"YoY %","-4.97%","-14.78%","-14.18%","-7.17%","-17.98%","19.91%","-",""
"Horiz. %","63.46%","66.77%","78.35%","91.30%","98.35%","119.91%","100.00%",""
"NP to SH","210,904","213,351","274,433","309,951","355,463","452,385","341,549","-5.32%"
"YoY %","-1.15%","-22.26%","-11.46%","-12.80%","-21.42%","32.45%","-",""
"Horiz. %","61.75%","62.47%","80.35%","90.75%","104.07%","132.45%","100.00%",""
"Tax Rate","44.81    %","44.66    %","42.15    %","35.95    %","36.31    %","29.40    %","30.67    %","8.27%"
"YoY %","0.34%","5.95%","17.25%","-0.99%","23.50%","-4.14%","-",""
"Horiz. %","146.10%","145.61%","137.43%","117.22%","118.39%","95.86%","100.00%",""
"Total Cost","6,834,598","6,887,431","7,024,750","6,753,502","5,692,378","4,806,940","5,181,640","7.90%"
"YoY %","-0.77%","-1.95%","4.02%","18.64%","18.42%","-7.23%","-",""
"Horiz. %","131.90%","132.92%","135.57%","130.34%","109.86%","92.77%","100.00%",""
"Net Worth","5,724,135","5,724,135","5,657,194","5,899,999","5,899,999","5,749,999","40,426,786","-38.82%"
"YoY %","0.00%","1.18%","-4.12%","0.00%","2.61%","-85.78%","-",""
"Horiz. %","14.16%","14.16%","13.99%","14.59%","14.59%","14.22%","100.00%",""
"Div","207,253","288,626","275,480","309,999","350,000","350,000","213,960","6.52%"
"YoY %","-28.19%","4.77%","-11.14%","-11.43%","0.00%","63.58%","-",""
"Horiz. %","96.86%","134.90%","128.75%","144.89%","163.58%","163.58%","100.00%",""
"Div Payout %","98.27    %","135.28    %","100.38    %","100.02    %","98.46    %","77.37    %","62.64    %","12.50%"
"YoY %","-27.36%","34.77%","0.36%","1.58%","27.26%","23.52%","-",""
"Horiz. %","156.88%","215.96%","160.25%","159.67%","157.18%","123.52%","100.00%",""
"Net Worth","5,724,135","5,724,135","5,657,194","5,899,999","5,899,999","5,749,999","40,426,786","-38.82%"
"YoY %","0.00%","1.18%","-4.12%","0.00%","2.61%","-85.78%","-",""
"Horiz. %","14.16%","14.16%","13.99%","14.59%","14.59%","14.22%","100.00%",""
"NOSH","4,934,600","4,934,600","4,919,300","5,000,000","5,000,000","5,000,000","3,583,935","8.23%"
"YoY %","0.00%","0.31%","-1.61%","0.00%","0.00%","39.51%","-",""
"Horiz. %","137.69%","137.69%","137.26%","139.51%","139.51%","139.51%","100.00%",""
"NP Margin","3.69    %","3.85    %","4.40    %","5.29    %","6.66    %","9.34    %","7.38    %","-12.12%"
"YoY %","-4.16%","-12.50%","-16.82%","-20.57%","-28.69%","26.56%","-",""
"Horiz. %","50.00%","52.17%","59.62%","71.68%","90.24%","126.56%","100.00%",""
"ROE","3.68    %","3.73    %","4.85    %","5.25    %","6.02    %","7.87    %","0.84    %","54.97%"
"YoY %","-1.34%","-23.09%","-7.62%","-12.79%","-23.51%","836.90%","-",""
"Horiz. %","438.10%","444.05%","577.38%","625.00%","716.67%","936.90%","100.00%",""
"RPS","143.81","145.16","149.38","142.61","121.97","106.04","156.10","-1.09%"
"YoY %","-0.93%","-2.83%","4.75%","16.92%","15.02%","-32.07%","-",""
"Horiz. %","92.13%","92.99%","95.70%","91.36%","78.14%","67.93%","100.00%",""
"EPS","4.26","4.32","5.64","6.20","7.11","9.98","9.53","-12.28%"
"YoY %","-1.39%","-23.40%","-9.03%","-12.80%","-28.76%","4.72%","-",""
"Horiz. %","44.70%","45.33%","59.18%","65.06%","74.61%","104.72%","100.00%",""
"DPS","4.20","5.80","5.60","6.20","7.00","7.00","5.97","-1.59%"
"YoY %","-27.59%","3.57%","-9.68%","-11.43%","0.00%","17.25%","-",""
"Horiz. %","70.35%","97.15%","93.80%","103.85%","117.25%","117.25%","100.00%",""
"NAPS","1.1600","1.1600","1.1500","1.1800","1.1800","1.1500","11.2800","-43.47%"
"YoY %","0.00%","0.87%","-2.54%","0.00%","2.61%","-89.80%","-",""
"Horiz. %","10.28%","10.28%","10.20%","10.46%","10.46%","10.20%","100.00%",""
"RPS","141.93","143.26","146.96","142.61","121.97","106.04","111.89","7.05%"
"YoY %","-0.93%","-2.52%","3.05%","16.92%","15.02%","-5.23%","-",""
"Horiz. %","126.85%","128.04%","131.34%","127.46%","109.01%","94.77%","100.00%",""
"EPS","4.22","4.27","5.49","6.20","7.11","9.98","6.83","-5.31%"
"YoY %","-1.17%","-22.22%","-11.45%","-12.80%","-28.76%","46.12%","-",""
"Horiz. %","61.79%","62.52%","80.38%","90.78%","104.10%","146.12%","100.00%",""
"DPS","4.15","5.77","5.51","6.20","7.00","7.00","4.28","6.51%"
"YoY %","-28.08%","4.72%","-11.13%","-11.43%","0.00%","63.55%","-",""
"Horiz. %","96.96%","134.81%","128.74%","144.86%","163.55%","163.55%","100.00%",""
"NAPS","1.1448","1.1448","1.1314","1.1800","1.1800","1.1500","8.0854","-38.82%"
"YoY %","0.00%","1.18%","-4.12%","0.00%","2.61%","-85.78%","-",""
"Horiz. %","14.16%","14.16%","13.99%","14.59%","14.59%","14.22%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-"
"Price","0.8250","0.8250","0.8000","0.9800","1.3700","1.6000","0.0000","-"
"P/RPS","0.57","0.57","0.54","0.69","1.12","1.51","0.00","-"
"YoY %","0.00%","5.56%","-21.74%","-38.39%","-25.83%","0.00%","-",""
"Horiz. %","37.75%","37.75%","35.76%","45.70%","74.17%","100.00%","-",""
"P/EPS","19.30","19.08","14.34","15.81","19.27","17.68","0.00","-"
"YoY %","1.15%","33.05%","-9.30%","-17.96%","8.99%","0.00%","-",""
"Horiz. %","109.16%","107.92%","81.11%","89.42%","108.99%","100.00%","-",""
"EY","5.18","5.24","6.97","6.33","5.19","5.65","0.00","-"
"YoY %","-1.15%","-24.82%","10.11%","21.97%","-8.14%","0.00%","-",""
"Horiz. %","91.68%","92.74%","123.36%","112.04%","91.86%","100.00%","-",""
"DY","5.09","7.03","7.00","6.33","5.11","4.38","0.00","-"
"YoY %","-27.60%","0.43%","10.58%","23.87%","16.67%","0.00%","-",""
"Horiz. %","116.21%","160.50%","159.82%","144.52%","116.67%","100.00%","-",""
"P/NAPS","0.71","0.71","0.70","0.83","1.16","1.39","0.00","-"
"YoY %","0.00%","1.43%","-15.66%","-28.45%","-16.55%","0.00%","-",""
"Horiz. %","51.08%","51.08%","50.36%","59.71%","83.45%","100.00%","-",""
"Date","AQR","T4Q","22/02/19","21/02/18","20/02/17","19/02/16","-","-"
"Price","1.0300","1.0300","0.8750","0.9100","1.3000","1.5900","0.0000","-"
"P/RPS","0.72","0.71","0.59","0.64","1.07","1.50","0.00","-"
"YoY %","1.41%","20.34%","-7.81%","-40.19%","-28.67%","0.00%","-",""
"Horiz. %","48.00%","47.33%","39.33%","42.67%","71.33%","100.00%","-",""
"P/EPS","24.10","23.82","15.68","14.68","18.29","17.57","0.00","-"
"YoY %","1.18%","51.91%","6.81%","-19.74%","4.10%","0.00%","-",""
"Horiz. %","137.17%","135.57%","89.24%","83.55%","104.10%","100.00%","-",""
"EY","4.15","4.20","6.38","6.81","5.47","5.69","0.00","-"
"YoY %","-1.19%","-34.17%","-6.31%","24.50%","-3.87%","0.00%","-",""
"Horiz. %","72.93%","73.81%","112.13%","119.68%","96.13%","100.00%","-",""
"DY","4.08","5.63","6.40","6.81","5.38","4.40","0.00","-"
"YoY %","-27.53%","-12.03%","-6.02%","26.58%","22.27%","0.00%","-",""
"Horiz. %","92.73%","127.95%","145.45%","154.77%","122.27%","100.00%","-",""
"P/NAPS","0.89","0.89","0.76","0.77","1.10","1.38","0.00","-"
"YoY %","0.00%","17.11%","-1.30%","-30.00%","-20.29%","0.00%","-",""
"Horiz. %","64.49%","64.49%","55.07%","55.80%","79.71%","100.00%","-",""

