Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","7,670","10,297","8,764","8,596","8,563","7,292","20,706","76,274","198,184","225,424","175,072","-31.21%"
"YoY %","-25.51%","17.49%","1.95%","0.39%","17.43%","-64.78%","-72.85%","-61.51%","-12.08%","28.76%","-",""
"Horiz. %","4.38%","5.88%","5.01%","4.91%","4.89%","4.17%","11.83%","43.57%","113.20%","128.76%","100.00%",""
"PBT","-3,766","-1,235","-1,236","-34,432","-17,568","-126,331","-46,700","4,342","45,733","75,246","73,937","-"
"YoY %","-204.94%","0.08%","96.41%","-95.99%","86.09%","-170.52%","-1,175.54%","-90.51%","-39.22%","1.77%","-",""
"Horiz. %","-5.09%","-1.67%","-1.67%","-46.57%","-23.76%","-170.86%","-63.16%","5.87%","61.85%","101.77%","100.00%",""
"Tax","0","0","0","9,520","0","0","-6,552","-4,392","-15,599","-15,645","-12,104","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-49.18%","71.84%","0.29%","-29.25%","-",""
"Horiz. %","-0.00%","-0.00%","-0.00%","-78.65%","-0.00%","-0.00%","54.13%","36.29%","128.87%","129.25%","100.00%",""
"NP","-3,766","-1,235","-1,236","-24,912","-17,568","-126,331","-53,252","-50","30,134","59,601","61,833","-"
"YoY %","-204.94%","0.08%","95.04%","-41.80%","86.09%","-137.23%","-106,404.00%","-100.17%","-49.44%","-3.61%","-",""
"Horiz. %","-6.09%","-2.00%","-2.00%","-40.29%","-28.41%","-204.31%","-86.12%","-0.08%","48.73%","96.39%","100.00%",""
"NP to SH","-3,586","-1,199","-1,201","-23,217","-16,711","-120,047","-50,614","-84","28,371","57,242","58,442","-"
"YoY %","-199.08%","0.17%","94.83%","-38.93%","86.08%","-137.18%","-60,154.76%","-100.30%","-50.44%","-2.05%","-",""
"Horiz. %","-6.14%","-2.05%","-2.06%","-39.73%","-28.59%","-205.41%","-86.61%","-0.14%","48.55%","97.95%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-     %","101.15    %","34.11    %","20.79    %","16.37    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","196.54%","64.07%","27.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","617.90%","208.37%","127.00%","100.00%",""
"Total Cost","11,436","11,532","10,000","33,508","26,131","133,623","73,958","76,324","168,050","165,823","113,239","-26.15%"
"YoY %","-0.83%","15.32%","-70.16%","28.23%","-80.44%","80.67%","-3.10%","-54.58%","1.34%","46.44%","-",""
"Horiz. %","10.10%","10.18%","8.83%","29.59%","23.08%","118.00%","65.31%","67.40%","148.40%","146.44%","100.00%",""
"Net Worth","146,096","157,911","153,640","153,640","187,040","200,400","280,559","287,240","293,919","224,300","122,642","2.85%"
"YoY %","-7.48%","2.78%","0.00%","-17.86%","-6.67%","-28.57%","-2.33%","-2.27%","31.04%","82.89%","-",""
"Horiz. %","119.12%","128.76%","125.27%","125.27%","152.51%","163.40%","228.76%","234.21%","239.66%","182.89%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","33,326","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","57.03    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%",""
"Net Worth","146,096","157,911","153,640","153,640","187,040","200,400","280,559","287,240","293,919","224,300","122,642","2.85%"
"YoY %","-7.48%","2.78%","0.00%","-17.86%","-6.67%","-28.57%","-2.33%","-2.27%","31.04%","82.89%","-",""
